name,pclass,sex,age,sibsp,parch,fare,embarked,survived
"Abbott, Mr. Rossmore Edward",3,1,16,1,1,20.2500,S,0
"Abelseth, Miss. Karen Marie",3,0,16,0,0,7.6500,S,1
"Abelson, Mrs. Samuel (Hannah Wizosky)",2,0,28,1,0,24.0000,C,1
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",3,0,40,1,0,9.4750,S,0
"Aks, Master. Philip Frank",3,1,0.8333,0,1,9.3500,S,1
"Aks, Mrs. Sam (Leah Rosen)",3,0,18,0,1,9.3500,S,1
"Aldworth, Mr. Charles Augustus",2,1,30,0,0,13.0000,S,0
"Ali, Mr. Ahmed",3,1,24,0,0,7.0500,S,0
"Allison, Master. Hudson Trevor",1,1,0.9167,1,2,151.5500,S,1
"Allison, Miss. Helen Loraine",1,0,2,1,2,151.5500,S,0
"Allison, Mr. Hudson Joshua Creighton",1,1,30,1,2,151.5500,S,0
"Andersen, Mr. Albert Karvin",3,1,32,0,0,22.5250,S,0
"Anderson, Mr. Harry",1,1,48,0,0,26.5500,S,1
"Andersson, Miss. Ebba Iris Alfrida",3,0,6,4,2,31.2750,S,0
"Andersson, Miss. Ellis Anna Maria",3,0,2,4,2,31.2750,S,0
"Andersson, Miss. Ingeborg Constanzia",3,0,9,4,2,31.2750,S,0
"Andersson, Miss. Sigrid Elisabeth",3,0,11,4,2,31.2750,S,0
"Andersson, Mr. August Edvard (""Wennerstrom"")",3,1,27,0,0,7.7958,S,1
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",3,0,39,1,5,31.2750,S,0
"Andreasson, Mr. Paul Edvin",3,1,20,0,0,7.8542,S,0
"Andrew, Mr. Edgardo Samuel",2,1,18,0,0,11.5000,S,0
"Andrew, Mr. Frank Thomas",2,1,25,0,0,10.5000,S,0
"Angheloff, Mr. Minko",3,1,26,0,0,7.8958,S,0
"Arnold-Franchi, Mr. Josef",3,1,25,1,0,17.8000,S,0
"Artagaveytia, Mr. Ramon",1,1,71,0,0,49.5042,C,0
"Asim, Mr. Adola",3,1,35,0,0,7.0500,S,0
"Asplund, Master. Clarence Gustaf Hugo",3,1,9,4,2,31.3875,S,0
"Asplund, Master. Edvin Rojj Felix",3,1,3,4,2,31.3875,S,1
"Asplund, Master. Filip Oscar",3,1,13,4,2,31.3875,S,0
"Asplund, Miss. Lillian Gertrud",3,0,5,4,2,31.3875,S,1
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",3,0,38,1,5,31.3875,S,1
"Astor, Col. John Jacob",1,1,47,1,0,227.5250,C,0
"Attalah, Miss. Malake",3,0,17,0,0,14.4583,C,0
"Augustsson, Mr. Albert",3,1,23,0,0,7.8542,S,0
"Ayoub, Miss. Banoura",3,0,13,0,0,7.2292,C,1
"Baclini, Miss. Helene Barbara",3,0,0.75,2,1,19.2583,C,1
"Badman, Miss. Emily Louisa",3,0,18,0,0,8.0500,S,1
"Badt, Mr. Mohamed",3,1,40,0,0,7.2250,C,0
"Ball, Mrs. (Ada E Hall)",2,0,36,0,0,13.0000,S,1
"Banfield, Mr. Frederick James",2,1,28,0,0,10.5000,S,0
"Barah, Mr. Hanna Assi",3,1,20,0,0,7.2292,C,1
"Barbara, Mrs. (Catherine David)",3,0,45,0,1,14.4542,C,0
"Barber, Miss. Ellen ""Nellie""",1,0,26,0,0,78.8500,S,1
"Barkworth, Mr. Algernon Henry Wilson",1,1,80,0,0,30.0000,S,1
"Barry, Miss. Julia",3,0,27,0,0,7.8792,Q,0
"Baumann, Mr. John D",1,1,,0,0,25.9250,S,0
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,0,50,0,1,247.5208,C,1
"Beattie, Mr. Thomson",1,1,36,0,0,75.2417,C,0
"Beavan, Mr. William Thomas",3,1,19,0,0,8.0500,S,0
"Becker, Miss. Ruth Elizabeth",2,0,12,2,1,39.0000,S,1
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",2,0,36,0,3,39.0000,S,1
"Beesley, Mr. Lawrence",2,1,34,0,0,13.0000,S,1
"Bengtsson, Mr. John Viktor",3,1,26,0,0,7.7750,S,0
"Berriman, Mr. William John",2,1,23,0,0,13.0000,S,0
"Betros, Master. Seman",3,1,,0,0,7.2292,C,0
"Bidois, Miss. Rosalie",1,0,42,0,0,227.5250,C,1
"Bing, Mr. Lee",3,1,32,0,0,56.4958,S,1
"Bird, Miss. Ellen",1,0,29,0,0,221.7792,S,1
"Birnbaum, Mr. Jakob",1,1,25,0,0,26.0000,C,0
"Bissette, Miss. Amelia",1,0,35,0,0,135.6333,S,1
"Bjorklund, Mr. Ernst Herbert",3,1,18,0,0,7.7500,S,0
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,1,28,0,0,26.5500,S,1
"Blackwell, Mr. Stephen Weart",1,1,45,0,0,35.5000,S,0
"Bonnell, Miss. Caroline",1,0,30,0,0,164.8667,S,1
"Borebank, Mr. John James",1,1,42,0,0,26.5500,S,0
"Bostandyeff, Mr. Guentcho",3,1,26,0,0,7.8958,S,0
"Botsford, Mr. William Hull",2,1,26,0,0,13.0000,S,0
"Boulos, Mrs. Joseph (Sultana)",3,0,,0,2,15.2458,C,0
"Bourke, Mrs. John (Catherine)",3,0,32,1,1,15.5000,Q,0
"Bowenur, Mr. Solomon",2,1,42,0,0,13.0000,S,0
"Bradley, Mr. George (""George Arthur Brayton"")",1,1,,0,0,26.5500,S,1
"Braf, Miss. Elin Ester Maria",3,0,20,0,0,7.8542,S,0
"Brandeis, Mr. Emil",1,1,48,0,0,50.4958,C,0
"Braund, Mr. Lewis Richard",3,1,29,1,0,7.0458,S,0
"Braund, Mr. Owen Harris",3,1,22,1,0,7.2500,S,0
"Brewe, Dr. Arthur Jackson",1,1,,0,0,39.6000,C,0
"Brobeck, Mr. Karl Rudolf",3,1,22,0,0,7.7958,S,0
"Brocklebank, Mr. William Alfred",3,1,35,0,0,8.0500,S,0
"Brown, Miss. Amelia ""Mildred""",2,0,24,0,0,13.0000,S,1
"Brown, Miss. Edith Eileen",2,0,15,0,2,39.0000,S,1
"Brown, Mr. Thomas William Solomon",2,1,60,1,1,39.0000,S,0
"Brown, Mrs. John Murray (Caroline Lane Lamson)",1,0,59,2,0,51.4792,S,1
"Bryhl, Mr. Kurt Arnold Gottfrid",2,1,25,1,0,26.0000,S,0
"Buckley, Miss. Katherine",3,0,18.5,0,0,7.2833,Q,0
"Burke, Mr. Jeremiah",3,1,19,0,0,6.7500,Q,0
"Burns, Miss. Mary Delia",3,0,18,0,0,7.8792,Q,0
"Bystrom, Mrs. (Karolina)",2,0,42,0,0,13.0000,S,1
"Cacic, Mr. Jego Grga",3,1,18,0,0,8.6625,S,0
"Cairns, Mr. Alexander",1,1,,0,0,31.0000,S,0
"Caldwell, Master. Alden Gates",2,1,0.8333,0,2,29.0000,S,1
"Calic, Mr. Petar",3,1,17,0,0,8.6625,S,0
"Cameron, Miss. Clear Annie",2,0,35,0,0,21.0000,S,1
"Canavan, Miss. Mary",3,0,21,0,0,7.7500,Q,0
"Canavan, Mr. Patrick",3,1,21,0,0,7.7500,Q,0
"Candee, Mrs. Edward (Helen Churchill Hungerford)",1,0,53,0,0,27.4458,C,1
"Cann, Mr. Ernest Charles",3,1,21,0,0,8.0500,S,0
"Caram, Mr. Joseph",3,1,,1,0,14.4583,C,0
"Cardeza, Mr. Thomas Drake Martinez",1,1,36,0,1,512.3292,C,1
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",1,0,58,0,1,512.3292,C,1
"Carlsson, Mr. August Sigfrid",3,1,28,0,0,7.7958,S,0
"Carlsson, Mr. Frans Olof",1,1,33,0,0,5.0000,S,0
"Carr, Miss. Helen ""Ellen""",3,0,16,0,0,7.7500,Q,1
"Carr, Miss. Jeannie",3,0,37,0,0,7.7500,Q,0
"Carrau, Mr. Francisco M",1,1,28,0,0,47.1000,S,0
"Carrau, Mr. Jose Pedro",1,1,17,0,0,47.1000,S,0
"Carter, Rev. Ernest Courtenay",2,1,54,1,0,26.0000,S,0
"Case, Mr. Howard Brown",1,1,49,0,0,26.0000,S,0
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",1,0,,0,0,27.7208,C,1
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",1,0,76,1,0,78.8500,S,1
"Celotti, Mr. Francesco",3,1,24,0,0,8.0500,S,0
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",1,0,47,1,0,61.1750,S,1
"Chambers, Mr. Norman Campbell",1,1,27,1,0,53.1000,S,1
"Chapman, Mr. Charles Henry",2,1,52,0,0,13.5000,S,0
"Chapman, Mr. John Henry",2,1,37,1,0,26.0000,S,0
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",2,0,29,1,0,26.0000,S,0
"Chaudanson, Miss. Victorine",1,0,36,0,0,262.3750,C,1
"Chevre, Mr. Paul Romaine",1,1,45,0,0,29.7000,C,1
"Christmann, Mr. Emil",3,1,29,0,0,8.0500,S,0
"Christy, Miss. Julie Rachel",2,0,25,1,1,30.0000,S,1
"Chronopoulos, Mr. Apostolos",3,1,26,1,0,14.4542,C,0
"Chronopoulos, Mr. Demetrios",3,1,18,1,0,14.4542,C,0
"Clarke, Mr. Charles Valentine",2,1,29,1,0,26.0000,S,0
"Cleaver, Miss. Alice",1,0,22,0,0,151.5500,S,1
"Clifford, Mr. George Quincy",1,1,,0,0,52.0000,S,0
"Coelho, Mr. Domingos Fernandeo",3,1,20,0,0,7.0500,S,0
"Coleff, Mr. Satio",3,1,24,0,0,7.4958,S,0
"Coleridge, Mr. Reginald Charles",2,1,29,0,0,10.5000,S,0
"Collett, Mr. Sidney C Stuart",2,1,24,0,0,10.5000,S,1
"Conlon, Mr. Thomas Henry",3,1,31,0,0,7.7333,Q,0
"Connolly, Miss. Kate",3,0,30,0,0,7.6292,Q,0
"Cor, Mr. Bartol",3,1,35,0,0,7.8958,S,0
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",2,0,,0,0,21.0000,S,0
"Corn, Mr. Harry",3,1,30,0,0,8.0500,S,0
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",1,0,55,2,0,25.7000,S,1
"Crafton, Mr. John Bertram",1,1,,0,0,26.5500,S,0
"Cribb, Miss. Laura Alice",3,0,17,0,1,16.1000,S,1
"Cribb, Mr. John Hatfield",3,1,44,0,1,16.1000,S,0
"Crosby, Miss. Harriet R",1,0,36,0,2,71.0000,S,1
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",1,0,64,1,1,26.5500,S,1
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0,38,1,0,71.2833,C,1
"Cunningham, Mr. Alfred Fleming",2,1,,0,0,0.0000,S,0
"Daher, Mr. Shedid",3,1,22.5,0,0,7.2250,C,0
"Dakic, Mr. Branko",3,1,19,0,0,10.1708,S,0
"Daly, Miss. Margaret Marcella ""Maggie""",3,0,30,0,0,6.9500,Q,1
"Daniel, Mr. Robert Williams",1,1,27,0,0,30.5000,S,1
"Daniels, Miss. Sarah",1,0,33,0,0,151.5500,S,1
"Danoff, Mr. Yoto",3,1,27,0,0,7.8958,S,0
"Davidson, Mr. Thornton",1,1,31,1,0,52.0000,S,0
"Davidson, Mrs. Thornton (Orian Hays)",1,0,27,1,2,52.0000,S,1
"Davies, Mr. Evan",3,1,22,0,0,8.0500,S,0
"Davies, Mr. Joseph",3,1,17,2,0,8.0500,S,0
"Davison, Mr. Thomas Henry",3,1,,1,0,16.1000,S,0
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",3,0,36,1,0,17.4000,S,1
"de Mulder, Mr. Theodore",3,1,30,0,0,9.5000,S,1
"de Pelsmaeker, Mr. Alfons",3,1,16,0,0,9.5000,S,0
"Deacon, Mr. Percy William",2,1,17,0,0,73.5000,S,0
"Dean, Miss. Elizabeth Gladys ""Millvina""",3,0,0.1667,1,2,20.5750,S,1
"Dean, Mr. Bertram Frank",3,1,26,1,2,20.5750,S,0
"Dean, Mrs. Bertram (Eva Georgetta Light)",3,0,33,1,2,20.5750,S,1
"Delalic, Mr. Redjo",3,1,25,0,0,7.8958,S,0
"Demetri, Mr. Marinko",3,1,,0,0,7.8958,S,0
"Denbury, Mr. Herbert",2,1,25,0,0,31.5000,S,0
"Dennis, Mr. Samuel",3,1,22,0,0,7.2500,S,0
"Dennis, Mr. William",3,1,36,0,0,7.2500,S,0
"Dibden, Mr. William",2,1,18,0,0,73.5000,S,0
"Dick, Mr. Albert Adrian",1,1,31,1,0,57.0000,S,1
"Dintcheff, Mr. Valtcho",3,1,43,0,0,7.8958,S,0
"Dooley, Mr. Patrick",3,1,32,0,0,7.7500,Q,0
"Dorking, Mr. Edward Arthur",3,1,19,0,0,8.0500,S,1
"Douglas, Mrs. Walter Donald (Mahala Dutton)",1,0,48,1,0,106.4250,C,1
"Doyle, Miss. Elizabeth",3,0,24,0,0,7.7500,Q,0
"Drew, Master. Marshall Brines",2,1,8,0,2,32.5000,S,1
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",2,0,34,1,1,32.5000,S,1
"Duane, Mr. Frank",3,1,65,0,0,7.7500,Q,0
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",1,1,49,1,0,56.9292,C,1
"Dulles, Mr. William Crothers",1,1,39,0,0,29.7000,C,0
"Duquemin, Mr. Joseph",3,1,24,0,0,7.5500,S,1
"Duran y More, Miss. Florentina",2,0,30,1,0,13.8583,C,1
"Earnshaw, Mrs. Boulton (Olive Potter)",1,0,23,0,1,83.1583,C,1
"Elias, Mr. Dibo",3,1,,0,0,7.2250,C,0
"Elias, Mr. Joseph",3,1,39,0,2,7.2292,C,0
"Elias, Mr. Joseph Jr",3,1,17,1,1,7.2292,C,0
"Elsbury, Mr. William James",3,1,47,0,0,7.2500,S,0
"Emanuel, Miss. Virginia Ethel",3,0,5,0,0,12.4750,S,1
"Enander, Mr. Ingvar",2,1,21,0,0,13.0000,S,0
"Evans, Miss. Edith Corse",1,0,36,0,0,31.6792,C,0
"Farrell, Mr. James",3,1,40.5,0,0,7.7500,Q,0
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",2,0,29,1,0,26.0000,S,1
"Fillbrook, Mr. Joseph Charles",2,1,18,0,0,10.5000,S,0
"Fischer, Mr. Eberhard Thelander",3,1,18,0,0,7.7958,S,0
"Flynn, Mr. John",3,1,,0,0,6.9500,Q,0
"Flynn, Mr. John Irwin (""Irving"")",1,1,36,0,0,26.3875,S,1
"Foley, Mr. Joseph",3,1,26,0,0,7.8792,Q,0
"Foley, Mr. William",3,1,,0,0,7.7500,Q,0
"Foo, Mr. Choong",3,1,,0,0,56.4958,S,1
"Ford, Miss. Robina Maggie ""Ruby""",3,0,9,2,2,34.3750,S,0
"Ford, Mrs. Edward (Margaret Ann Watson)",3,0,48,1,3,34.3750,S,0
"Foreman, Mr. Benjamin Laventall",1,1,30,0,0,27.7500,C,0
"Fortune, Mr. Charles Alexander",1,1,19,3,2,263.0000,S,0
"Fortune, Mr. Mark",1,1,64,1,4,263.0000,S,0
"Fortune, Mrs. Mark (Mary McDougald)",1,0,60,1,4,263.0000,S,1
"Francatelli, Miss. Laura Mabel",1,0,30,0,0,56.9292,C,1
"Franklin, Mr. Charles (Charles Fardon)",3,1,,0,0,7.2500,S,0
"Frauenthal, Dr. Henry William",1,1,50,2,0,133.6500,S,1
"Frauenthal, Mr. Isaac Gerald",1,1,43,1,0,27.7208,C,1
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1,0,,1,0,133.6500,S,1
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",1,0,48,1,1,79.2000,C,1
"Frolicher, Miss. Hedwig Margaritha",1,0,22,0,2,49.5000,C,1
"Fry, Mr. Richard",1,1,,0,0,0.0000,S,0
"Funk, Miss. Annie Clemmer",2,0,38,0,0,13.0000,S,0
"Futrelle, Mr. Jacques Heath",1,1,37,1,0,53.1000,S,0
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0,35,1,0,53.1000,S,1
"Gaskell, Mr. Alfred",2,1,16,0,0,26.0000,S,0
"Gibson, Miss. Dorothy Winifred",1,0,22,0,1,59.4000,C,1
"Giglio, Mr. Victor",1,1,24,0,0,79.2000,C,0
"Gilbert, Mr. William",2,1,47,0,0,10.5000,S,0
"Giles, Mr. Frederick Edward",2,1,21,1,0,11.5000,S,0
"Gill, Mr. John William",2,1,24,0,0,13.0000,S,0
"Glynn, Miss. Mary Agatha",3,0,,0,0,7.7500,Q,1
"Goldsmith, Mr. Frank John",3,1,33,1,1,20.5250,S,0
"Goodwin, Miss. Jessie Allis",3,0,10,5,2,46.9000,S,0
"Goodwin, Mr. Charles Edward",3,1,14,5,2,46.9000,S,0
"Goodwin, Mr. Charles Frederick",3,1,40,1,6,46.9000,S,0
"Gracie, Col. Archibald IV",1,1,53,0,0,28.5000,C,1
"Graham, Miss. Margaret Edith",1,0,19,0,0,30.0000,S,1
"Graham, Mr. George Edward",1,1,38,0,1,153.4625,S,0
"Greenfield, Mrs. Leo David (Blanche Strouse)",1,0,45,0,1,63.3583,C,1
"Guest, Mr. Robert",3,1,,0,0,8.0500,S,0
"Guggenheim, Mr. Benjamin",1,1,46,0,0,79.2000,C,0
"Gustafsson, Mr. Alfred Ossian",3,1,20,0,0,9.8458,S,0
"Gustafsson, Mr. Anders Vilhelm",3,1,37,2,0,7.9250,S,0
"Gustafsson, Mr. Karl Gideon",3,1,19,0,0,7.7750,S,0
"Hagland, Mr. Ingvald Olai Olsen",3,1,,1,0,19.9667,S,0
"Hakkarainen, Mr. Pekka Pietari",3,1,28,1,0,15.8500,S,0
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",3,0,24,1,0,15.8500,S,1
"Hale, Mr. Reginald",2,1,30,0,0,13.0000,S,0
"Hamalainen, Master. Viljo",2,1,0.6667,1,1,14.5000,S,1
"Hanna, Mr. Mansour",3,1,23.5,0,0,7.2292,C,0
"Hansen, Mr. Claus Peter",3,1,41,2,0,14.1083,S,0
"Hansen, Mr. Henry Damsgaard",3,1,21,0,0,7.8542,S,0
"Hansen, Mrs. Claus Peter (Jennie L Howard)",3,0,45,1,0,14.1083,S,1
"Harder, Mr. George Achilles",1,1,25,1,0,55.4417,C,1
"Harder, Mrs. George Achilles (Dorothy Annan)",1,0,25,1,0,55.4417,C,1
"Harper, Miss. Annie Jessie ""Nina""",2,0,6,0,1,33.0000,S,1
"Harper, Mr. Henry Sleeper",1,1,48,1,0,76.7292,C,1
"Harper, Rev. John",2,1,28,0,1,33.0000,S,0
"Harris, Mr. George",2,1,62,0,0,10.5000,S,1
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,0,35,1,0,83.4750,S,1
"Hart, Mr. Benjamin",2,1,43,1,1,26.2500,S,0
"Hassan, Mr. Houssein G N",3,1,11,0,0,18.7875,C,0
"Hawksford, Mr. Walter James",1,1,,0,0,30.0000,S,1
"Hays, Miss. Margaret Bechstein",1,0,24,0,0,83.1583,C,1
"Hays, Mr. Charles Melville",1,1,55,1,1,93.5000,S,0
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",1,0,52,1,1,93.5000,S,1
"Hegarty, Miss. Hanora ""Nora""",3,0,18,0,0,6.7500,Q,0
"Heininen, Miss. Wendla Maria",3,0,23,0,0,7.9250,S,0
"Henry, Miss. Delia",3,0,,0,0,7.7500,Q,0
"Herman, Miss. Alice",2,0,24,1,2,65.0000,S,1
"Herman, Mr. Samuel",2,1,49,1,2,65.0000,S,0
"Herman, Mrs. Samuel (Jane Laver)",2,0,48,1,2,65.0000,S,1
"Hewlett, Mrs. (Mary D Kingcome) ",2,0,55,0,0,16.0000,S,1
"Hickman, Mr. Stanley George",2,1,21,2,0,73.5000,S,0
"Hippach, Miss. Jean Gertrude",1,0,16,0,1,57.9792,C,1
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",1,0,44,0,1,57.9792,C,1
"Hirvonen, Miss. Hildur E",3,0,2,0,1,12.2875,S,1
"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",3,0,22,1,1,12.2875,S,1
"Hocking, Miss. Ellen ""Nellie""",2,0,20,2,1,23.0000,S,1
"Hocking, Mr. Samuel James Metcalfe",2,1,36,0,0,13.0000,S,0
"Hodges, Mr. Henry Price",2,1,50,0,0,13.0000,S,0
"Hold, Mr. Stephen",2,1,44,1,0,26.0000,S,0
"Holthen, Mr. Johan Martin",3,1,28,0,0,22.5250,S,0
"Holverson, Mr. Alexander Oskar",1,1,42,1,0,52.0000,S,0
"Horgan, Mr. John",3,1,,0,0,7.7500,Q,0
"Howard, Miss. May Elizabeth",3,0,,0,0,8.0500,S,1
"Hoyt, Mr. Frederick Maxfield",1,1,38,1,0,90.0000,S,1
"Humblen, Mr. Adolf Mathias Nicolai Olsen",3,1,42,0,0,7.6500,S,0
"Hunt, Mr. George Henry",2,1,33,0,0,12.2750,S,0
"Hyman, Mr. Abraham",3,1,,0,0,7.8875,S,1
"Ibrahim Shawah, Mr. Yousseff",3,1,30,0,0,7.2292,C,0
"Icard, Miss. Amelie",1,0,38,0,0,80.0000,,1
"Ilett, Miss. Bertha",2,0,17,0,0,10.5000,S,1
"Ilieff, Mr. Ylio",3,1,,0,0,7.8958,S,0
"Jacobsohn, Mr. Sidney Samuel",2,1,42,1,0,27.0000,S,0
"Jalsevac, Mr. Ivan",3,1,29,0,0,7.8958,C,1
"Jansson, Mr. Carl Olof",3,1,21,0,0,7.7958,S,1
"Jardin, Mr. Jose Neto",3,1,,0,0,7.0500,S,0
"Jefferys, Mr. Clifford Thomas",2,1,24,2,0,31.5000,S,0
"Jefferys, Mr. Ernest Wilfred",2,1,22,2,0,31.5000,S,0
"Jenkin, Mr. Stephen Curnow",2,1,32,0,0,10.5000,S,0
"Jermyn, Miss. Annie",3,0,,0,0,7.7500,Q,1
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",2,0,23,0,0,13.7917,C,1
"Johanson, Mr. Jakob Alfred",3,1,34,0,0,6.4958,S,0
"Johansson Palmquist, Mr. Oskar Leander",3,1,26,0,0,7.7750,S,1
"Johansson, Mr. Karl Johan",3,1,31,0,0,7.7750,S,0
"Johnson, Master. Harold Theodor",3,1,4,1,1,11.1333,S,1
"Johnson, Miss. Eleanor Ileen",3,0,1,1,1,11.1333,S,1
"Johnson, Mr. Alfred",3,1,49,0,0,0.0000,S,0
"Johnson, Mr. Malkolm Joackim",3,1,33,0,0,7.7750,S,0
"Johnston, Master. William Arthur ""Willie""",3,1,,1,2,23.4500,S,0
"Johnston, Miss. Catherine Helen ""Carrie""",3,0,,1,2,23.4500,S,0
"Jonsson, Mr. Carl",3,1,32,0,0,7.8542,S,1
"Julian, Mr. Henry Forbes",1,1,50,0,0,26.0000,S,0
"Jussila, Miss. Katriina",3,0,20,1,0,9.8250,S,0
"Jussila, Miss. Mari Aina",3,0,21,1,0,9.8250,S,0
"Kallio, Mr. Nikolai Erland",3,1,17,0,0,7.1250,S,0
"Kantor, Mr. Sinai",2,1,34,1,0,26.0000,S,0
"Kantor, Mrs. Sinai (Miriam Sternin)",2,0,24,1,0,26.0000,S,1
"Karaic, Mr. Milan",3,1,30,0,0,7.8958,S,0
"Karnes, Mrs. J Frank (Claire Bennett)",2,0,22,0,0,21.0000,S,0
"Karun, Miss. Manca",3,0,4,0,1,13.4167,C,1
"Kassem, Mr. Fared",3,1,,0,0,7.2292,C,0
"Katavelas, Mr. Vassilios (""Catavelas Vassilios"")",3,1,18.5,0,0,7.2292,C,0
"Keane, Miss. Nora A",2,0,,0,0,12.3500,Q,1
"Keane, Mr. Daniel",2,1,35,0,0,12.3500,Q,0
"Keeping, Mr. Edwin",1,1,32.5,0,0,211.5000,C,0
"Kelly, Miss. Mary",3,0,,0,0,7.7500,Q,1
"Kelly, Mr. James",3,1,44,0,0,8.0500,S,0
"Kelly, Mrs. Florence ""Fannie""",2,0,45,0,0,13.5000,S,1
"Kennedy, Mr. John",3,1,,0,0,7.7500,Q,1
"Kenyon, Mr. Frederick R",1,1,41,1,0,51.8625,S,0
"Kenyon, Mrs. Frederick R (Marion)",1,0,,1,0,51.8625,S,1
