name,pclass,sex,age,sibsp,parch,fare,embarked,survived
"Khalil, Mrs. Betros (Zahie ""Maria"" Elias)",3,0,,1,0,14.4542,C,0
"Kiernan, Mr. John",3,1,,1,0,7.7500,Q,0
"Kilgannon, Mr. Thomas J",3,1,,0,0,7.7375,Q,0
"Kimball, Mr. Edwin Nelson Jr",1,1,42,1,0,52.5542,S,1
"Kink-Heilmann, Mr. Anton",3,1,29,3,1,22.0250,S,1
"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",3,0,26,1,1,22.0250,S,1
"Kirkland, Rev. Charles Leonard",2,1,57,0,0,12.3500,Q,0
"Klaber, Mr. Herman",1,1,,0,0,26.5500,S,0
"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",3,0,36,0,2,12.1833,S,0
"Knight, Mr. Robert J",2,1,,0,0,0.0000,S,0
"Kraeff, Mr. Theodor",3,1,,0,0,7.8958,C,0
"Krekorian, Mr. Neshan",3,1,25,0,0,7.2292,C,1
"Kvillner, Mr. Johan Henrik Johannesson",2,1,31,0,0,10.5000,S,0
"Lahoud, Mr. Sarkis",3,1,,0,0,7.2250,C,0
"Lahtinen, Mrs. William (Anna Sylfven)",2,0,26,1,1,26.0000,S,0
"Laleff, Mr. Kristo",3,1,,0,0,7.8958,S,0
"Lam, Mr. Ali",3,1,,0,0,56.4958,S,1
"Lamb, Mr. John Joseph",2,1,,0,0,10.7083,Q,0
"Landergren, Miss. Aurora Adelia",3,0,22,0,0,7.2500,S,1
"Lane, Mr. Patrick",3,1,,0,0,7.7500,Q,0
"Lang, Mr. Fang",3,1,26,0,0,56.4958,S,1
"Laroche, Miss. Louise",2,0,1,1,2,41.5792,C,1
"Laroche, Miss. Simonne Marie Anne Andree",2,0,3,1,2,41.5792,C,1
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",2,0,22,1,2,41.5792,C,1
"Larsson-Rondberg, Mr. Edvard A",3,1,22,0,0,7.7750,S,0
"Larsson, Mr. Bengt Edvin",3,1,29,0,0,7.7750,S,0
"Leader, Dr. Alice (Farnham)",1,0,49,0,0,25.9292,S,1
"Lefebre, Miss. Jeannie",3,0,,3,1,25.4667,S,0
"Lefebre, Mrs. Frank (Frances)",3,0,,0,4,25.4667,S,0
"Lemberopolous, Mr. Peter L",3,1,34.5,0,0,6.4375,C,0
"Lemore, Mrs. (Amelia Milley)",2,0,34,0,0,10.5000,S,1
"Lennon, Miss. Mary",3,0,,1,0,15.5000,Q,0
"Lennon, Mr. Denis",3,1,,1,0,15.5000,Q,0
"Lester, Mr. James",3,1,39,0,0,24.1500,S,0
"Lesurer, Mr. Gustave J",1,1,35,0,0,512.3292,C,1
"Lewy, Mr. Ervin G",1,1,,0,0,27.7208,C,0
"Lindahl, Miss. Agda Thorilda Viktoria",3,0,25,0,0,7.7750,S,0
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",1,0,55,0,0,27.7208,C,1
"Linehan, Mr. Michael",3,1,,0,0,7.8792,Q,0
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",1,0,51,0,1,39.4000,S,1
"Lovell, Mr. John Hall (""Henry"")",3,1,20.5,0,0,7.2500,S,0
"Lundin, Miss. Olga Elida",3,0,23,0,0,7.8542,S,1
"Lundstrom, Mr. Thure Edvin",3,1,32,0,0,7.5792,S,1
"Lurette, Miss. Elise",1,0,58,0,0,146.5208,C,1
"Mack, Mrs. (Mary)",2,0,57,0,0,10.5000,S,0
"MacKay, Mr. George William",3,1,,0,0,7.5500,S,0
"Madill, Miss. Georgette Alexandra",1,0,15,0,1,211.3375,S,1
"Mahon, Miss. Bridget Delia",3,0,,0,0,7.8792,Q,0
"Malachard, Mr. Noel",2,1,,0,0,15.0458,C,0
"Mallet, Master. Andre",2,1,1,0,2,37.0042,C,1
"Mallet, Mr. Albert",2,1,31,1,1,37.0042,C,0
"Mamee, Mr. Hanna",3,1,,0,0,7.2292,C,1
"Mangiavacchi, Mr. Serafino Emilio",2,1,,0,0,15.5792,C,0
"Mannion, Miss. Margareth",3,0,,0,0,7.7375,Q,1
"Markun, Mr. Johann",3,1,33,0,0,7.8958,S,0
"Maybery, Mr. Frank Hubert",2,1,40,0,0,16.0000,S,0
"McCaffry, Mr. Thomas Francis",1,1,46,0,0,75.2417,C,0
"McCarthy, Miss. Catherine ""Katie""",3,0,,0,0,7.7500,Q,1
"McCoy, Miss. Agnes",3,0,,2,0,23.2500,Q,1
"McCoy, Mr. Bernard",3,1,,2,0,23.2500,Q,1
"McCrae, Mr. Arthur Gordon",2,1,32,0,0,13.5000,S,0
"McCrie, Mr. James Matthew",2,1,30,0,0,13.0000,S,0
"McDermott, Miss. Brigdet Delia",3,0,,0,0,7.7875,Q,1
"McGovern, Miss. Mary",3,0,,0,0,7.8792,Q,1
"McKane, Mr. Peter David",2,1,46,0,0,26.0000,S,0
"McMahon, Mr. Martin",3,1,,0,0,7.7500,Q,0
"McNamee, Mr. Neal",3,1,24,1,0,16.1000,S,0
"Meanwell, Miss. (Marion Ogden)",3,0,,0,0,8.0500,S,0
"Mellinger, Miss. Madeleine Violet",2,0,13,0,1,19.5000,S,1
"Mellinger, Mrs. (Elizabeth Anne Maidment)",2,0,41,0,1,19.5000,S,1
"Meo, Mr. Alfonzo",3,1,55.5,0,0,8.0500,S,0
"Meyer, Mrs. Edgar Joseph (Leila Saks)",1,0,,1,0,82.1708,C,1
"Midtsjo, Mr. Karl Albert",3,1,21,0,0,7.7750,S,1
"Miles, Mr. Frank",3,1,,0,0,8.0500,S,0
"Millet, Mr. Francis Davis",1,1,65,0,0,26.5500,S,0
"Minahan, Dr. William Edward",1,1,44,2,0,90.0000,Q,0
"Minahan, Miss. Daisy E",1,0,33,1,0,90.0000,Q,1
"Mineff, Mr. Ivan",3,1,24,0,0,7.8958,S,0
"Mionoff, Mr. Stoytcho",3,1,28,0,0,7.8958,S,0
"Mitkoff, Mr. Mito",3,1,,0,0,7.8958,S,0
"Moen, Mr. Sigurd Hansen",3,1,25,0,0,7.6500,S,0
"Molson, Mr. Harry Markland",1,1,55,0,0,30.5000,S,0
"Montvila, Rev. Juozas",2,1,27,0,0,13.0000,S,0
"Moor, Mrs. (Beila)",3,0,27,0,1,12.4750,S,1
"Moore, Mr. Clarence Bloomfield",1,1,47,0,0,42.4000,S,0
"Moran, Miss. Bertha",3,0,,1,0,24.1500,Q,1
"Moran, Mr. James",3,1,,0,0,8.4583,Q,0
"Moraweck, Dr. Ernest",2,1,54,0,0,14.0000,S,0
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",2,1,39,0,0,26.0000,S,0
"Morley, Mr. William",3,1,34,0,0,8.0500,S,0
"Morrow, Mr. Thomas Rowan",3,1,,0,0,7.7500,Q,0
"Moubarek, Master. Gerios",3,1,,1,1,15.2458,C,1
"Moussa, Mrs. (Mantoura Boulos)",3,0,,0,0,7.2292,C,1
"Moutal, Mr. Rahamin Haim",3,1,,0,0,8.0500,S,0
"Murphy, Miss. Margaret Jane",3,0,,1,0,15.5000,Q,1
"Myles, Mr. Thomas Francis",2,1,62,0,0,9.6875,Q,0
"Naidenoff, Mr. Penko",3,1,22,0,0,7.8958,S,0
"Najib, Miss. Adele Kiamie ""Jane""",3,0,15,0,0,7.2250,C,1
"Nakid, Mr. Sahid",3,1,20,1,1,15.7417,C,1
"Nakid, Mrs. Said (Waika ""Mary"" Mowad)",3,0,19,1,1,15.7417,C,1
"Nancarrow, Mr. William Henry",3,1,33,0,0,8.0500,S,0
"Nasr, Mr. Mustafa",3,1,,0,0,7.2292,C,0
"Natsch, Mr. Charles H",1,1,37,0,1,29.7000,C,0
"Naughton, Miss. Hannah",3,0,,0,0,7.7500,Q,0
"Nenkoff, Mr. Christo",3,1,,0,0,7.8958,S,0
"Newell, Miss. Madeleine",1,0,31,1,0,113.2750,C,1
"Newell, Miss. Marjorie",1,0,23,1,0,113.2750,C,1
"Newell, Mr. Arthur Webster",1,1,58,0,2,113.2750,C,0
"Nicholls, Mr. Joseph Charles",2,1,19,1,1,36.7500,S,0
"Nicola-Yarred, Master. Elias",3,1,12,1,0,11.2417,C,1
"Niklasson, Mr. Samuel",3,1,28,0,0,8.0500,S,0
"Nilsson, Miss. Helmina Josefina",3,0,26,0,0,7.8542,S,1
"Nirva, Mr. Iisakki Antino Aijo",3,1,41,0,0,7.1250,S,0
"Niskanen, Mr. Juha",3,1,39,0,0,7.9250,S,1
"Norman, Mr. Robert Douglas",2,1,28,0,0,13.5000,S,0
"Nosworthy, Mr. Richard Cater",3,1,21,0,0,7.8000,S,0
"Nourney, Mr. Alfred (""Baron von Drachstedt"")",2,1,20,0,0,13.8625,C,1
"Nysten, Miss. Anna Sofia",3,0,22,0,0,7.7500,S,1
"O'Brien, Mr. Timothy",3,1,,0,0,7.8292,Q,0
"O'Connor, Mr. Patrick",3,1,,0,0,7.7500,Q,0
"O'Dwyer, Miss. Ellen ""Nellie""",3,0,,0,0,7.8792,Q,1
"O'Keefe, Mr. Patrick",3,1,,0,0,7.7500,Q,1
"O'Sullivan, Miss. Bridget Mary",3,0,,0,0,7.6292,Q,0
"Odahl, Mr. Nils Martin",3,1,23,0,0,9.2250,S,0
"Ohman, Miss. Velin",3,0,22,0,0,7.7750,S,1
"Oliva y Ocana, Dona. Fermina",1,0,39,0,0,108.9000,C,1
"Olsen, Master. Artur Karl",3,1,9,0,1,3.1708,S,1
"Olsen, Mr. Karl Siegwart Andreas",3,1,42,0,1,8.4042,S,0
"Olsvigen, Mr. Thor Anderson",3,1,20,0,0,9.2250,S,0
"Omont, Mr. Alfred Fernand",1,1,,0,0,25.7417,C,1
"Osman, Mrs. Mara",3,0,31,0,0,8.6833,S,1
"Otter, Mr. Richard",2,1,39,0,0,13.0000,S,0
"Pain, Dr. Alfred",2,1,23,0,0,10.5000,S,0
"Pallas y Castello, Mr. Emilio",2,1,29,0,0,13.8583,C,1
"Palsson, Master. Paul Folke",3,1,6,3,1,21.0750,S,0
"Palsson, Miss. Stina Viola",3,0,3,3,1,21.0750,S,0
"Palsson, Mrs. Nils (Alma Cornelia Berglund)",3,0,29,0,4,21.0750,S,0
"Panula, Master. Eino Viljami",3,1,1,4,1,39.6875,S,0
"Panula, Master. Juha Niilo",3,1,7,4,1,39.6875,S,0
"Panula, Mr. Ernesti Arvid",3,1,16,4,1,39.6875,S,0
"Panula, Mrs. Juha (Maria Emilia Ojala)",3,0,41,0,5,39.6875,S,0
"Parrish, Mrs. (Lutie Davis)",2,0,50,0,1,26.0000,S,1
"Partner, Mr. Austen",1,1,45.5,0,0,28.5000,S,0
"Pasic, Mr. Jakob",3,1,21,0,0,8.6625,S,0
"Payne, Mr. Vivian Ponsonby",1,1,23,0,0,93.5000,S,0
"Peacock, Master. Alfred Edward",3,1,0.75,1,1,13.7750,S,0
"Peacock, Mrs. Benjamin (Edith Nile)",3,0,26,0,2,13.7750,S,0
"Pears, Mr. Thomas Clinton",1,1,29,1,0,66.6000,S,0
"Peduzzi, Mr. Joseph",3,1,,0,0,8.0500,S,0
"Peltomaki, Mr. Nikolai Johannes",3,1,25,0,0,7.9250,S,0
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,0,17,1,0,108.9000,C,1
"Pengelly, Mr. Frederick William",2,1,19,0,0,10.5000,S,0
"Perreault, Miss. Anne",1,0,30,0,0,93.5000,S,1
"Persson, Mr. Ernst Ulrik",3,1,25,1,0,7.7750,S,1
"Peter, Miss. Anna",3,0,,1,1,22.3583,C,1
"Peter, Mrs. Catherine (Catherine Rizk)",3,0,,0,2,22.3583,C,1
"Peters, Miss. Katie",3,0,,0,0,8.1375,Q,0
"Petranec, Miss. Matilda",3,0,28,0,0,7.8958,S,0
"Petroff, Mr. Nedelio",3,1,19,0,0,7.8958,S,0
"Peuchen, Major. Arthur Godfrey",1,1,52,0,0,30.5000,S,1
"Phillips, Miss. Alice Frances Louisa",2,0,21,0,1,21.0000,S,1
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",2,0,19,0,0,26.0000,S,1
"Pickard, Mr. Berk (Berk Trembisky)",3,1,32,0,0,8.0500,S,1
"Pinsky, Mrs. (Rosa)",2,0,32,0,0,13.0000,S,1
"Plotcharsky, Mr. Vasil",3,1,,0,0,7.8958,S,0
"Pokrnic, Mr. Mate",3,1,17,0,0,8.6625,S,0
"Ponesell, Mr. Martin",2,1,34,0,0,13.0000,S,0
"Pulbaum, Mr. Franz",2,1,27,0,0,15.0333,C,0
"Quick, Miss. Winifred Vera",2,0,8,1,1,26.0000,S,1
"Reed, Mr. James George",3,1,,0,0,7.2500,S,0
"Reeves, Mr. David",2,1,36,0,0,10.5000,S,0
"Rekic, Mr. Tido",3,1,38,0,0,7.8958,S,0
"Renouf, Mr. Peter Henry",2,1,34,1,0,21.0000,S,0
"Reynaldo, Ms. Encarnacion",2,0,28,0,0,13.0000,S,1
"Rice, Master. Arthur",3,1,4,4,1,29.1250,Q,0
"Rice, Master. Eugene",3,1,2,4,1,29.1250,Q,0
"Rice, Master. George Hugh",3,1,8,4,1,29.1250,Q,0
"Richards, Master. William Rowe",2,1,3,1,1,18.7500,S,1
"Richards, Mrs. Sidney (Emily Hocking)",2,0,24,2,3,18.7500,S,1
"Ridsdale, Miss. Lucy",2,0,50,0,0,10.5000,S,1
"Riihivouri, Miss. Susanna Juhantytar ""Sanni""",3,0,22,0,0,39.6875,S,0
"Risien, Mr. Samuel Beard",3,1,,0,0,14.5000,S,0
"Robbins, Mr. Victor",1,1,,0,0,227.5250,C,0
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1,0,43,0,1,211.3375,S,1
"Rommetvedt, Mr. Knud Paust",3,1,,0,0,7.7750,S,0
"Rood, Mr. Hugh Roscoe",1,1,,0,0,50.0000,S,0
"Rosblom, Miss. Salli Helena",3,0,2,1,1,20.2125,S,0
"Rosblom, Mr. Viktor Richard",3,1,18,1,1,20.2125,S,0
"Rosenbaum, Miss. Edith Louise",1,0,33,0,0,27.7208,C,1
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",1,0,54,1,0,59.4000,C,1
"Rouse, Mr. Richard Henry",3,1,50,0,0,8.0500,S,0
"Rush, Mr. Alfred George John",3,1,16,0,0,8.0500,S,0
"Ryan, Mr. Patrick",3,1,,0,0,24.1500,Q,0
"Ryerson, Master. John Borie",1,1,13,2,2,262.3750,C,1
"Ryerson, Miss. Emily Borie",1,0,18,2,2,262.3750,C,1
"Ryerson, Miss. Susan Parker ""Suzette""",1,0,21,2,2,262.3750,C,1
"Ryerson, Mr. Arthur Larned",1,1,61,1,3,262.3750,C,0
"Saad, Mr. Amin",3,1,,0,0,7.2292,C,0
"Saad, Mr. Khalil",3,1,25,0,0,7.2250,C,0
"Sadlier, Mr. Matthew",3,1,,0,0,7.7292,Q,0
"Sadowitz, Mr. Harry",3,1,,0,0,7.5750,S,0
"Saether, Mr. Simon Sivertsen",3,1,38.5,0,0,7.2500,S,0
"Sage, Master. William Henry",3,1,14.5,8,2,69.5500,S,0
"Sage, Miss. Constance Gladys",3,0,,8,2,69.5500,S,0
"Sage, Miss. Stella Anna",3,0,,8,2,69.5500,S,0
"Sage, Mr. Douglas Bullen",3,1,,8,2,69.5500,S,0
"Sage, Mr. George John Jr",3,1,,8,2,69.5500,S,0
"Sage, Mr. John George",3,1,,1,9,69.5500,S,0
"Sage, Mrs. John (Annie Bullen)",3,0,,1,9,69.5500,S,0
"Sagesser, Mlle. Emma",1,0,24,0,0,69.3000,C,1
"Salander, Mr. Karl Johan",3,1,24,0,0,9.3250,S,0
"Salkjelsvik, Miss. Anna Kristine",3,0,21,0,0,7.6500,S,1
"Samaan, Mr. Elias",3,1,,2,0,21.6792,C,0
"Samaan, Mr. Youssef",3,1,,2,0,21.6792,C,0
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",3,0,24,0,2,16.7000,S,1
"Saundercock, Mr. William Henry",3,1,20,0,0,8.0500,S,0
"Schmidt, Mr. August",2,1,26,0,0,13.0000,S,0
"Sdycoff, Mr. Todor",3,1,,0,0,7.8958,S,0
"Sedgwick, Mr. Charles Frederick Waddington",2,1,25,0,0,13.0000,S,0
"Shellard, Mr. Frederick William",3,1,,0,0,15.1000,S,0
"Shorney, Mr. Charles Joseph",3,1,,0,0,8.0500,S,0
"Shutes, Miss. Elizabeth W",1,0,40,0,0,153.4625,S,1
"Silven, Miss. Lyyli Karoliina",2,0,18,0,2,13.0000,S,1
"Silverthorne, Mr. Spencer Victor",1,1,35,0,0,26.2875,S,1
"Silvey, Mr. William Baird",1,1,50,1,0,55.9000,S,0
"Simonius-Blumer, Col. Oberst Alfons",1,1,56,0,0,35.5000,C,1
"Sincock, Miss. Maude",2,0,20,0,0,36.7500,S,1
"Sirayanian, Mr. Orsen",3,1,22,0,0,7.2292,C,0
"Sirota, Mr. Maurice",3,1,,0,0,8.0500,S,0
"Sivola, Mr. Antti Wilhelm",3,1,21,0,0,7.9250,S,0
"Sjoblom, Miss. Anna Sofia",3,0,18,0,0,7.4958,S,1
"Skoog, Master. Harald",3,1,4,3,2,27.9000,S,0
"Skoog, Master. Karl Thorsten",3,1,10,3,2,27.9000,S,0
"Skoog, Mr. Wilhelm",3,1,40,1,4,27.9000,S,0
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",3,0,45,1,4,27.9000,S,0
"Slayter, Miss. Hilda Mary",2,0,30,0,0,12.3500,Q,1
"Smart, Mr. John Montgomery",1,1,56,0,0,26.5500,S,0
"Smith, Mr. Thomas",3,1,,0,0,7.7500,Q,0
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",1,0,18,1,0,60.0000,S,1
"Smyth, Miss. Julia",3,0,,0,0,7.7333,Q,1
"Snyder, Mr. John Pillsbury",1,1,24,1,0,82.2667,S,1
"Spector, Mr. Woolf",3,1,,0,0,8.0500,S,0
"Spedden, Master. Robert Douglas",1,1,6,0,2,134.5000,C,1
"Spinner, Mr. Henry John",3,1,32,0,0,8.0500,S,0
"Stahelin-Maeglin, Dr. Max",1,1,32,0,0,30.5000,C,1
"Staneff, Mr. Ivan",3,1,,0,0,7.8958,S,0
"Stankovic, Mr. Ivan",3,1,33,0,0,8.6625,C,0
"Stanley, Mr. Edward Roland",3,1,21,0,0,8.0500,S,0
"Stanton, Mr. Samuel Ward",2,1,41,0,0,15.0458,C,0
"Stone, Mrs. George Nelson (Martha Evelyn)",1,0,62,0,0,80.0000,,1
"Storey, Mr. Thomas",3,1,60.5,0,0,,S,0
"Strandberg, Miss. Ida Sofia",3,0,22,0,0,9.8375,S,0
"Straus, Mr. Isidor",1,1,67,1,0,221.7792,S,0
"Straus, Mrs. Isidor (Rosalie Ida Blun)",1,0,63,1,0,221.7792,S,0
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",3,0,29,1,1,10.4625,S,0
"Sunderland, Mr. Victor Francis",3,1,16,0,0,8.0500,S,1
"Sundman, Mr. Johan Julian",3,1,44,0,0,7.9250,S,1
"Sutehall, Mr. Henry Jr",3,1,25,0,0,7.0500,S,0
"Sutton, Mr. Frederick",1,1,61,0,0,32.3208,S,0
"Svensson, Mr. Johan",3,1,74,0,0,7.7750,S,0
"Svensson, Mr. Olof",3,1,24,0,0,7.7958,S,0
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",1,0,48,0,0,25.9292,S,1
"Taussig, Miss. Ruth",1,0,18,0,2,79.6500,S,1
"Taussig, Mr. Emil",1,1,52,1,1,79.6500,S,0
"Taussig, Mrs. Emil (Tillie Mandelbaum)",1,0,39,1,1,79.6500,S,1
"Tenglin, Mr. Gunnar Isidor",3,1,25,0,0,7.7958,S,1
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1,0,39,1,1,110.8833,C,1
"Thomas, Mr. Charles P",3,1,,1,0,6.4375,C,0
"Thomas, Mr. John",3,1,,0,0,6.4375,C,0
"Thomas, Mr. Tannous",3,1,,0,0,7.2250,C,0
"Thorne, Mrs. Gertrude Maybelle",1,0,,0,0,79.2000,C,1
"Thorneycroft, Mrs. Percival (Florence Kate White)",3,0,,1,0,16.1000,S,1
"Tikkanen, Mr. Juho",3,1,32,0,0,7.9250,S,0
"Tomlin, Mr. Ernest Portage",3,1,30.5,0,0,8.0500,S,0
"Toufik, Mr. Nakli",3,1,,0,0,7.2292,C,0
"Touma, Master. Georges Youssef",3,1,7,1,1,15.2458,C,1
"Touma, Mrs. Darwis (Hanne Youssef Razi)",3,0,29,0,2,15.2458,C,1
"Troupiansky, Mr. Moses Aaron",2,1,23,0,0,13.0000,S,0
"Troutt, Miss. Edwina Celia ""Winnie""",2,0,27,0,0,10.5000,S,1
"Turcin, Mr. Stjepan",3,1,36,0,0,7.8958,S,0
"Uruchurtu, Don. Manuel E",1,1,40,0,0,27.7208,C,0
"Van Impe, Mr. Jean Baptiste",3,1,36,1,1,24.1500,S,0
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",3,0,30,1,1,24.1500,S,0
"van Melkebeke, Mr. Philemon",3,1,,0,0,9.5000,S,0
"Vande Walle, Mr. Nestor Cyriel",3,1,28,0,0,9.5000,S,0
"Vander Planke, Miss. Augusta Maria",3,0,18,2,0,18.0000,S,0
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",3,0,31,1,0,18.0000,S,0
"Vartanian, Mr. David",3,1,22,0,0,7.2250,C,1
"Vendel, Mr. Olof Edvin",3,1,20,0,0,7.8542,S,0
"Waelens, Mr. Achille",3,1,22,0,0,9.0000,S,0
"Walcroft, Miss. Nellie",2,0,31,0,0,21.0000,S,1
"Walker, Mr. William Anderson",1,1,47,0,0,34.0208,S,0
"Ward, Miss. Anna",1,0,35,0,0,512.3292,C,1
"Ware, Mr. Frederick",3,1,,0,0,8.0500,S,0
"Ware, Mr. John James",2,1,30,1,0,21.0000,S,0
"Ware, Mr. William Jeffery",2,1,23,1,0,10.5000,S,0
"Watson, Mr. Ennis Hastings",2,1,,0,0,0.0000,S,0
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",2,0,40,0,0,15.7500,S,1
"Weisz, Mr. Leopold",2,1,27,1,0,26.0000,S,0
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",2,0,29,1,0,26.0000,S,1
"Wells, Master. Ralph Lester",2,1,2,1,1,23.0000,S,1
"Wells, Miss. Joan",2,0,4,1,1,23.0000,S,1
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",2,0,29,0,2,23.0000,S,1
"West, Mr. Edwy Arthur",2,1,36,1,2,27.7500,S,0
"West, Mrs. Edwy Arthur (Ada Mary Worth)",2,0,33,1,2,27.7500,S,1
"Wheadon, Mr. Edward H",2,1,66,0,0,10.5000,S,0
"White, Mr. Percival Wayland",1,1,54,0,1,77.2875,S,0
"White, Mr. Richard Frasar",1,1,21,0,1,77.2875,S,0
"Wick, Miss. Mary Natalie",1,0,31,0,2,164.8667,S,1
"Wick, Mr. George Dennick",1,1,57,1,1,164.8667,S,0
"Wick, Mrs. George Dennick (Mary Hitchcock)",1,0,45,1,1,164.8667,S,1
"Widegren, Mr. Carl/Charles Peter",3,1,51,0,0,7.7500,S,0
"Widener, Mr. Harry Elkins",1,1,27,0,2,211.5000,C,0
"Wiklund, Mr. Karl Johan",3,1,21,1,0,6.4958,S,0
"Wilhelms, Mr. Charles",2,1,31,0,0,13.0000,S,1
"Wilkes, Mrs. James (Ellen Needs)",3,0,47,1,0,7.0000,S,1
"Willard, Miss. Constance",1,0,21,0,0,26.5500,S,1
"Willer, Mr. Aaron (""Abi Weller"")",3,1,,0,0,8.7125,S,0
"Willey, Mr. Edward",3,1,,0,0,7.5500,S,0
"Williams, Mr. Charles Eugene",2,1,,0,0,13.0000,S,1
"Williams, Mr. Howard Hugh ""Harry""",3,1,,0,0,8.0500,S,0
"Williams, Mr. Leslie",3,1,28.5,0,0,16.1000,S,0
"Williams, Mr. Richard Norris II",1,1,21,0,1,61.3792,C,1
"Windelov, Mr. Einar",3,1,21,0,0,7.2500,S,0
"Wirz, Mr. Albert",3,1,27,0,0,8.6625,S,0
"Woolner, Mr. Hugh",1,1,,0,0,35.5000,S,1
"Wright, Miss. Marion",2,0,26,0,0,13.5000,S,1
"Wright, Mr. George",1,1,62,0,0,26.5500,S,0
"Yasbeck, Mr. Antoni",3,1,27,1,0,14.4542,C,0
"Yasbeck, Mrs. Antoni (Selini Alexander)",3,0,15,1,0,14.4542,C,1
"Youseff, Mr. Gerious",3,1,45.5,0,0,7.2250,C,0
"Zabour, Miss. Hileni",3,0,14.5,1,0,14.4542,C,0
"Zakarian, Mr. Ortin",3,1,27,0,0,7.2250,C,0
"Zimmerman, Mr. Leo",3,1,29,0,0,7.8750,S,0
